date,state,confirmed,new conf,% of infected,recovered,new rec,% of rec,dead,new dead,% of dead,other,tested,% of tested,first dose,second dose,% of first dose,% of second dose
7/30/2021,Uttar Pradesh,1708410,37,0.708883817427386,1684925,91,98.6253299851909,22756,4,1.33199875908008,0,65251336,27.075243153527,39911639,7697281,16.5608460580913,3.19389253112033
7/31/2021,Uttar Pradesh,1708441,31,0.708896680497925,1684973,48,98.6263499880886,22756,0,1.33197458969903,0,65502631,27.1795149377593,40631196,7792225,16.8594174273859,3.23328838174274
8/1/2021,Uttar Pradesh,1708476,35,0.708911203319502,1685049,76,98.6287779283994,22763,7,1.33235702462311,0,65750787,27.2824842323651,40647594,7795548,16.8662215767635,3.23466721991701
8/2/2021,Uttar Pradesh,1708500,24,0.708921161825726,1685091,42,98.6298507462687,22763,0,1.33233830845771,0,65989652,27.381598340249,40960377,7865902,16.9960070539419,3.26385975103734
8/3/2021,Uttar Pradesh,1708562,62,0.708946887966805,1685125,34,98.6282616609757,22765,2,1.3324070182996,0,66217851,27.4762867219917,43576972,8071927,18.081731120332,3.34934730290456
8/4/2021,Uttar Pradesh,1708623,61,0.708972199170124,1685170,45,98.6273742071832,22767,2,1.33247650300856,0,66463922,27.5783908713693,44001463,8141787,18.2578684647303,3.37833485477178
8/5/2021,Uttar Pradesh,1708649,26,0.708982987551867,1685220,50,98.6287997125214,22770,3,1.3326318044256,0,66717749,27.6837132780083,44606802,8242205,18.509046473029,3.4200020746888
8/6/2021,Uttar Pradesh,1708689,40,0.708999585062241,1685299,79,98.6311142636255,22771,1,1.3326591322353,0,66967783,27.7874618257261,44974649,8320884,18.6616800829876,3.4526489626556
8/7/2021,Uttar Pradesh,1708716,27,0.709010788381743,1685357,58,98.6329501216118,22773,2,1.33275512138939,0,67221784,27.8928564315353,45201804,8391745,18.7559352697095,3.48205186721992
8/8/2021,Uttar Pradesh,1708772,56,0.709034024896266,1685406,49,98.6325852717624,22773,0,1.33271144424183,0,67476221,27.9984319502075,45211784,8396910,18.7600763485477,3.48419502074689
8/9/2021,Uttar Pradesh,1708793,21,0.709042738589212,1685449,43,98.6338895348939,22774,1,1.33275358688852,0,67691677,28.087832780083,45976210,8518342,19.077265560166,3.53458174273859
8/10/2021,Uttar Pradesh,1708812,19,0.709050622406639,1685492,43,98.6353092089709,22775,1,1.33279728840856,0,67897856,28.1733842323651,46430534,8618231,19.2657817427386,3.57602946058091
8/11/2021,Uttar Pradesh,1708836,24,0.709060580912863,1685555,63,98.6376106308622,22776,1,1.33283708910627,0,68137752,28.2729261410788,46821033,8702570,19.4278145228216,3.61102489626556
8/12/2021,Uttar Pradesh,1708851,15,0.709066804979253,1685581,26,98.6382662970616,22780,4,1.33305946510257,0,68386372,28.376087966805,47516971,8822171,19.7165854771784,3.66065186721992
8/13/2021,Uttar Pradesh,1708876,25,0.709077178423236,1685625,44,98.6393980604795,22782,2,1.3331569991035,0,68624490,28.4748921161826,48142591,8936965,19.9761788381743,3.70828423236515
8/14/2021,Uttar Pradesh,1708918,42,0.709094605809129,1685689,64,98.640718864217,22783,1,1.33318275072297,0,68862712,28.5737394190871,48248445,9180335,20.020101659751,3.80926763485477
8/15/2021,Uttar Pradesh,1708948,30,0.709107053941909,1685725,36,98.6410938191215,22784,1,1.33321786268511,0,68862712,28.5737394190871,48253717,9185356,20.0222892116183,3.8113510373444
8/16/2021,Uttar Pradesh,1708965,17,0.709114107883817,1685761,36,98.6422191209299,22785,1,1.33326311539441,0,69284717,28.7488452282158,50440291,9366645,20.9295813278008,3.88657468879668
8/17/2021,Uttar Pradesh,1708991,26,0.70912489626556,1685785,24,98.6421227496225,22786,1,1.33330134564781,0,69467980,28.824887966805,51123307,9483456,21.2129904564315,3.93504398340249
8/18/2021,Uttar Pradesh,1709025,34,0.709139004149378,1685819,34,98.6421497637542,22787,1,1.33333333333333,0,69700503,28.9213705394191,51806164,9597189,21.4963336099585,3.98223609958506
8/19/2021,Uttar Pradesh,1709050,25,0.709149377593361,1685854,35,98.6427547467892,22789,2,1.33343085339809,0,69936630,29.0193485477178,52669567,9731134,21.8545921161826,4.03781493775934
